"id","subject_name","subject id","number_of_credits"
"1","Chủ nghĩa xã hội khoa học","PHI1002","2"
"2","Cơ-Nhiệt","PHY1100","3"
"3","Giải tích 3","MAT2503","2"
"4","Xác suất – Thống kê","MAT2323","4"
"5","Các thành phần phần mềm","MAT3372","3"
"6","Cơ sở dữ liệu","MAT3507","4"
"7","Lịch sử Đảng Cộng sản Việt Nam","PEC1008","2"
"8","Điện - Quang","PHY1103","3"
"9","Phương trình vi phân ","MAT2403","3"
"10","Cấu trúc dữ liệu và thuật toán (**)","MAT3551E","4"
"11","Mạng máy tính (**)","MAT3517E","3"
"12","Tiếng Anh chuyên ngành khoa học máy tính (*)","MAT3555","2"
"13","Thực tập thực tế phát triển phần mềm","MAT3374","3"
"14","Triết học Mác – Lênin","PHI1006","3"
"15","Tiếng Anh B1","FLF10107","5"
"16","Tin học cơ sở","INM1000","2"
"17","Đại số tuyến tính","MAT2400","5"
"18","Giải tích 1","MAT2501","4"
"19","Môi trường lập trình Linux","MAT3557","2"
"20","Kĩ năng mềm","MAT2506","2"
"21","Kinh tế chính trị Mác - Lênin","PEC1008","2"
"22","Tiếng Anh B2","FLF1108","5"
"23","Giải tích 2","MAT2502","4"
"24","Toán rời rạc","MAT3500","4"
"25","Nhập môn phân tích dữ liệu","MAT1060","2"
"26","Nhập môn Internet kết nối vạn vật","PHY1070","2"
"27","Nhà nước và pháp luật đại cương","THL1057","2"
"28","Lập trình C/C++","MAT2316","3"
"29","Lập trình Java","MAT2317","3"
"30","Lập trình Python","MAT2318","3"
"31","Lập trình Julia","MAT2319","3"
"32","Giải tích số","MAT2034","3"
"33","Nguyên lý hệ điều hành (**)","MAT3550E","3"
"34","Nhập môn Trí tuệ nhân tạo (**)","MAT3553E","4"
"35","Công nghệ phần mềm","MAT3543","3"
"36","Nguyên lý của các ngôn ngữ lập trình (**)","MAT3541E","3"
"37","Lập trình nâng cao","MAT3376","2"
"38","Lập trình mobile (*)","MAT3558","2"
"39","Xây dựng hệ thống nhúng (*)","MAT3559","2"
"40","Phát triển phần mềm trò chơi (*)","MAT3560","2"
"41","Tối ưu hoá (**)","MAT2411E","3"
"42","Thiết kế và đánh giá thuật toán (**)","MAT3552E","3"
"43","Kiến trúc máy tính","MAT3505","3"
"44","Tính toán song song","MAT3140","3"
"45","Nhập môn an toàn máy tính(**)","MAT3373E","3"
"46","Phương pháp nghiên cứu khoa học (**)","MAT2315E","3"
"47","Học máy","MAT3533","3"
"48","Ngôn ngữ hình thức và ôtômat (**)","MAT3554E","3"
"49","Thị giác máy tính (**)","MAT3562E","3"
"50","Tư tưởng Hồ Chí Minh","POL1001","2"
"51","Phát triển ứng dụng web","MAT3542","3"
"52","Một số vấn đề chọn lọc về thị giác máy tính (*)","MAT3563","3"
"53","Xử lý ảnh 3D (*)","MAT3566","3"
"54","Nhập môn tương tác người máy (*)","MAT3564","3"
"55","Nhập môn khai phá các tập dữ liệu lớn (*)","MAT3565","3"
"56","Xử lý ngôn ngữ tự nhiên và ứng dụng (**)","MAT3561E","3"
"57","Mật mã và an toàn dữ liệu","MAT3539","3"
